client_id,days_since_activation,inactive_days,creation_date,mambu_state,first_transaction_date,last_transaction_date,total_loan_amount,total_inflow_amt,total_outflow_amt,total_billpayment_amt,total_savings_amt,ltv_credit,ltv_credit_no_risk,ltv_nocredit,ltv
A1N2ZY,2886,810,2018-02-20 09:11:09,ACTIVE,2023-08-13,2023-10-28,22519.0,296203.0000000000,295593.8900000000,0E-10,0E-10,1138.41,4758.22,2499.4,3637.81
CZVCMY,3010,2858,2017-10-19 12:53:52,EXITED,2017-10-27,2018-03-20,400000.0,True,True,True,True,94792.89,214141.0,0.0,94792.89
AOYY0U,2219,924,2019-12-19 06:48:21,ACTIVE,2019-12-27,2023-07-06,1150000.0,99500.0000000000,99459.9100000000,0E-10,0E-10,180534.66,601123.13,50.19,180584.85
2ZOE62,1133,58,2022-12-09 12:21:54,ACTIVE,2022-12-12,2025-11-18,456400.0,50000.0000000000,49900.0000000000,0E-10,0E-10,59459.81,195828.66,30.28,59490.09
CRPCF2,894,805,2023-08-05 10:28:43,INACTIVE,2023-11-02,2023-11-02,17648.0,True,True,True,True,531.93,3368.61,0.0,531.93
3HI0TC,3143,3143,2017-06-08 00:00:00,EXITED,2017-06-08,2017-06-08,24002.0,True,True,True,True,26764.78,34638.09,0.0,26764.78
44M5K9,4510,23,2013-09-10 00:00:00,ACTIVE,2013-09-11,2025-12-23,73331375.0,8621163.3200000000,8575355.6200000000,0E-10,0E-10,6880595.95,9413320.91,1248.35,6881844.3
7DTEVL,2488,32,2019-03-25 07:57:20,ACTIVE,2025-09-29,2025-12-14,0.0,80000.0000000000,77761.2700000000,1900.0000000000,0E-10,0.0,0.0,755.21,755.21
5K9023,2770,2740,2018-06-16 00:00:00,INACTIVE,2018-06-16,2018-07-16,30000.0,True,True,True,True,132.06,4939.67,0.0,132.06
F3QYDM,86,11,2025-10-21 15:16:53,ACTIVE,2025-12-29,2026-01-04,0.0,20000.0000000000,20000.0000000000,0E-10,20000.0000000000,0.0,0.0,974.58,974.58
1IOIBR,2769,1756,2018-06-17 07:56:23,INACTIVE,2021-03-26,2021-03-26,20000.0,True,True,True,True,639.13,3844.21,0.0,639.13
3UBMSM,2372,2218,2019-07-19 14:55:17,INACTIVE,2019-07-22,2019-12-20,2700000.0,True,True,True,True,395677.93,1004262.61,0.0,395677.93
2OG0BS,1514,90,2021-11-23 09:03:10,ACTIVE,2025-09-28,2025-10-17,0.0,1000.0000000000,990.7500000000,0E-10,0E-10,0.0,0.0,21.66,21.66
5GC1UO,1442,1439,2022-02-03 15:51:16,ACTIVE,2022-02-06,2022-02-06,0.0,500.0000000000,400.0000000000,0E-10,0E-10,0.0,0.0,10.83,10.83
D0W9NW,3139,3139,2017-06-12 00:00:00,EXITED,2017-06-12,2017-06-12,24002.0,True,True,True,True,24506.78,32261.5,0.0,24506.78
53YRHG,265,203,2025-04-25 15:49:14,ACTIVE,2025-06-26,2025-06-26,0.0,150.0000000000,110.7500000000,0E-10,0E-10,0.0,0.0,3.25,3.25
9ACHI3,2380,250,2019-07-11 11:21:43,ACTIVE,2025-05-08,2025-05-10,0.0,2400.0000000000,1610.7500000000,750.0000000000,0E-10,0.0,0.0,133.19,133.19
ANM77Z,2487,2485,2019-03-26 15:18:27,INACTIVE,2019-03-28,2019-03-28,1500000.0,True,True,True,True,2501110.44,2994519.15,0.0,2501110.44
96D2U2,395,2,2024-12-16 00:00:00,ACTIVE,2024-12-16,2026-01-13,0.0,3912131.1600000000,3919834.8700000000,100.0000000000,2008758.4600000000,0.0,0.0,10592.72,10592.72
5BSH61,1397,1390,2022-03-20 00:10:55,ACTIVE,2022-03-27,2022-03-27,0.0,100.0000000000,0E-10,0E-10,0E-10,0.0,0.0,2.17,2.17
8BTPVZ,2684,2442,2018-09-10 18:27:58,INACTIVE,2018-09-12,2019-05-10,1500000.0,True,True,True,True,213620.0,623343.84,0.0,213620.0
7A74SC,93,12,2025-10-14 20:42:29,ACTIVE,2025-12-02,2026-01-03,0.0,50166.2300000000,49668.2600000000,400.0000000000,833.7700000000,0.0,0.0,1047.59,1047.59
3X9R5P,2318,1234,2019-09-11 10:00:29,BLACKLISTED,2022-04-29,2022-08-30,80000.0,41895.0000000000,41791.3000000000,0E-10,0E-10,2969.35,19288.37,219.52,3188.87
